Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
MID-SIZE,2.5,4,AS6,X,8.7,6.5,7.7,37,177
MID-SIZE,2.5,4,AS6,X,8.2,6.0,7.2,39,166
MID-SIZE,2.5,4,M6,X,9.2,6.6,8.1,35,186
MINIVAN,2.5,4,AS5,X,10.7,8.2,9.6,29,221
MINIVAN,2.5,4,M6,X,11.1,8.3,9.8,29,225
MID-SIZE,2.5,4,AS6,X,8.8,6.1,7.6,37,175
MID-SIZE,2.5,4,M6,X,9.4,6.4,8.1,35,186
MID-SIZE,2.5,4,AS6,X,8.4,5.9,7.3,39,168
TWO-SEATER,2.0,4,AS6,Z,11.5,8.5,10.1,28,232
TWO-SEATER,2.0,4,M5,Z,10.5,8.5,9.6,29,221
TWO-SEATER,2.0,4,M6,Z,11.1,8.4,9.9,29,228
STATION WAGON - SMALL,2.0,4,AS7,Z,9.2,6.6,8.0,35,184
STATION WAGON - SMALL,2.0,4,AS7,Z,10.0,7.5,8.9,32,205
SUBCOMPACT,1.8,4,AS7,Z,10.9,7.5,9.4,30,216
COMPACT,2.0,4,AS7,Z,10.1,7.8,9.0,31,207
SUBCOMPACT,3.5,6,AS7,Z,12.1,8.7,10.6,27,244
SUBCOMPACT,3.5,6,AS7,Z,12.1,8.6,10.5,27,242
COMPACT,3.0,6,AS7,Z,11.1,8.4,9.9,29,228
SUBCOMPACT,6.2,8,AS7,Z,17.9,12.3,15.4,18,354
SUBCOMPACT,2.0,4,AS7,Z,9.4,6.4,8.1,35,186
SUBCOMPACT,2.0,4,AS7,Z,9.9,7.4,8.8,32,202
COMPACT,2.0,4,AS7,Z,10.2,7.7,9.1,31,209
COMPACT,3.0,6,AS7,Z,12.1,8.5,10.5,27,242
COMPACT,4.7,8,AS7,Z,14.5,10.1,12.5,23,288
COMPACT,5.5,8,AS7,Z,15.1,10.8,13.1,22,301
MID-SIZE,2.1,4,AS7,D,8.6,5.9,7.4,38,200
MID-SIZE,3.5,6,AS7,Z,11.9,8.2,10.2,28,235
MID-SIZE,3.0,6,AS7,Z,12.0,8.5,10.4,27,239
STATION WAGON - MID-SIZE,3.5,6,AS7,Z,12.4,8.8,10.8,26,248
SUBCOMPACT,3.5,6,AS7,Z,11.5,8.1,10.0,28,230
SUBCOMPACT,3.5,6,AS7,Z,11.8,8.3,10.2,28,235
MID-SIZE,4.7,8,AS7,Z,12.9,9.6,11.4,25,262
SUBCOMPACT,4.7,8,AS7,Z,13.7,9.2,11.7,24,269
SUBCOMPACT,4.7,8,AS7,Z,13.3,8.9,11.4,25,262
MID-SIZE,5.5,8,AS7,Z,15.3,10.8,13.3,21,306
STATION WAGON - MID-SIZE,5.5,8,AS7,Z,15.2,11.0,13.3,21,306
SUV - STANDARD,5.5,8,AS7,Z,19.9,16.1,18.2,16,419
SUV - STANDARD,5.5,8,AS7,Z,20.0,16.6,18.5,15,426
SUV - STANDARD,3.0,6,AS7,D,13.6,10.0,12.0,24,324
SUV - STANDARD,3.0,6,AS7,Z,15.2,12.6,14.0,20,322
SUV - STANDARD,4.7,8,AS7,Z,17.5,13.2,15.6,18,359
SUV - STANDARD,5.5,8,AS7,Z,18.2,14.0,16.3,17,375
SUV - SMALL,2.0,4,AS7,Z,9.8,7.4,8.7,32,200
STATION WAGON - MID-SIZE,2.0,4,AS7,Z,10.5,8.1,9.4,30,216
SUV - SMALL,2.1,4,AS7,D,9.6,7.0,8.5,33,230
SUV - SMALL,3.5,6,AS7,Z,12.6,9.6,11.2,25,258
SUV - STANDARD,3.0,6,AS7,D,11.8,8.5,10.3,27,278
SUV - STANDARD,3.0,6,AS7,Z,13.3,10.4,12.0,24,276
SUV - STANDARD,4.7,8,AS7,Z,16.3,11.8,14.2,20,327
SUV - STANDARD,5.5,8,AS7,Z,17.3,13.5,15.6,18,359
MID-SIZE,4.7,6,AS7,Z,12.6,8.6,10.8,26,248
COMPACT,4.7,8,AS7,Z,14.4,9.8,12.3,23,283
FULL-SIZE,4.7,8,AS7,Z,14.8,9.8,12.5,23,288
MID-SIZE,4.7,8,AS7,Z,14.7,9.1,12.2,23,281
FULL-SIZE,6.0,12,AS7,Z,18.1,11.0,14.9,19,343
FULL-SIZE,5.5,8,AS7,Z,15.7,10.1,13.2,21,304
COMPACT,5.5,8,AS7,Z,15.7,10.1,13.2,21,304
FULL-SIZE,6.0,12,AS7,Z,18.5,11.8,15.5,18,357
COMPACT,6.0,12,AS7,Z,18.0,11.3,15.0,19,345
TWO-SEATER,4.7,8,AS7,Z,13.8,9.5,11.9,24,274
TWO-SEATER,5.5,8,AS7,Z,14.7,9.5,12.4,23,285
TWO-SEATER,6.0,12,AS7,Z,16.7,11.2,14.2,20,327
TWO-SEATER,1.8,4,AS7,Z,10.4,7.2,9.0,31,207
TWO-SEATER,1.8,4,M6,Z,10.4,7.2,9.0,31,207
TWO-SEATER,3.5,6,AS7,Z,11.1,8.1,9.8,29,225
TWO-SEATER,5.5,8,AS7,Z,12.4,8.5,10.6,27,244
TWO-SEATER,6.2,8,AM7,Z,18.1,12.6,15.6,18,359
TWO-SEATER,6.2,8,AM7,Z,18.1,12.6,15.6,18,359
SUBCOMPACT,1.5,3,AS6,Z,8.5,6.3,7.5,38,172
SUBCOMPACT,1.5,3,M6,Z,8.1,5.9,7.1,40,163
SUBCOMPACT,1.5,3,AS6,Z,8.5,6.3,7.5,38,172
SUBCOMPACT,1.5,3,M6,Z,8.2,5.9,7.2,39,166
MINICOMPACT,1.6,4,AS6,Z,8.6,6.5,7.7,37,177
MINICOMPACT,1.6,4,M6,Z,8.4,6.4,7.5,38,172
COMPACT,1.6,4,AS6,Z,9.4,7.9,8.7,32,200
COMPACT,1.6,4,M6,Z,8.4,6.4,7.5,38,172
TWO-SEATER,1.6,4,AS6,Z,8.5,6.5,7.6,37,175
TWO-SEATER,1.6,4,M6,Z,8.0,6.4,7.3,39,168
COMPACT,1.6,4,AS6,Z,9.4,7.9,8.7,32,200
COMPACT,1.6,4,M6,Z,8.4,6.4,7.5,38,172
TWO-SEATER,1.6,4,AS6,Z,8.6,6.5,7.7,37,177
TWO-SEATER,1.6,4,M6,Z,8.4,6.4,7.5,38,172
SUBCOMPACT,2.0,4,AS6,Z,9.2,7.0,8.2,34,189
SUBCOMPACT,2.0,4,M6,Z,10.0,7.0,8.6,33,198
SUBCOMPACT,2.0,4,AS6,Z,9.2,7.0,8.2,34,189
SUBCOMPACT,2.0,4,M6,Z,10.0,7.0,8.6,33,198
MINICOMPACT,1.6,4,AS6,Z,9.2,6.8,8.1,35,186
MINICOMPACT,1.6,4,M6,Z,9.1,6.8,8.1,35,186
COMPACT,1.6,4,AS6,Z,10.1,7.8,9.0,31,207
COMPACT,1.6,4,M6,Z,9.5,7.7,8.7,32,200
TWO-SEATER,1.6,4,AS6,Z,9.2,6.8,8.1,35,186
TWO-SEATER,1.6,4,M6,Z,9.1,6.8,8.1,35,186
COMPACT,1.6,4,AS6,Z,10.1,7.8,9.0,31,207
COMPACT,1.6,4,M6,Z,9.5,7.7,8.7,32,200
TWO-SEATER,1.6,4,AS6,Z,9.2,6.8,8.1,35,186
TWO-SEATER,1.6,4,M6,Z,9.1,6.8,8.1,35,186
SUBCOMPACT,2.0,4,AS6,Z,9.3,7.3,8.4,34,193
SUBCOMPACT,2.0,4,M6,Z,10.4,7.7,9.2,31,212
MINICOMPACT,1.6,4,AS6,Z,9.2,6.8,8.1,35,186
MINICOMPACT,1.6,4,M6,Z,9.1,6.8,8.1,35,186
COMPACT,1.6,4,AS6,Z,10.1,7.8,9.0,31,207
COMPACT,1.6,4,M6,Z,9.5,7.7,8.7,32,200
TWO-SEATER,1.6,4,AS6,Z,9.2,6.8,8.1,35,186
TWO-SEATER,1.6,4,M6,Z,9.1,6.8,8.1,35,186
COMPACT,1.6,4,AS6,Z,10.1,7.8,9.0,31,207
COMPACT,1.6,4,M6,Z,9.5,7.7,8.7,32,200
TWO-SEATER,1.6,4,AS6,Z,9.2,6.8,8.1,35,186
TWO-SEATER,1.6,4,M6,Z,9.1,6.8,8.1,35,186
COMPACT,2.0,4,AV6,X,9.2,6.9,8.2,34,189
COMPACT,2.0,4,M5,X,9.6,6.9,8.4,34,193
COMPACT,2.4,4,AV6,X,10.5,8.2,9.5,30,219
COMPACT,2.0,4,AM6,Z,14.2,10.5,12.5,23,288
COMPACT,2.0,4,M5,Z,14.0,10.3,12.3,23,283
COMPACT,2.0,4,AM6,Z,13.4,9.4,11.6,24,267
STATION WAGON - SMALL,2.0,4,AV6,X,9.6,7.3,8.6,33,198
STATION WAGON - SMALL,2.0,4,M5,X,9.8,7.1,8.6,33,198
COMPACT,1.2,3,AV,X,6.4,5.3,5.9,48,136
COMPACT,1.2,3,M5,X,7.0,5.5,6.4,44,147
SUV - SMALL,2.4,4,AV6,X,9.5,7.5,8.6,33,198
SUV - SMALL,2.4,4,AV6,X,9.9,8.1,9.1,31,209
SUV - SMALL,3.0,6,AS6,Z,11.5,8.4,10.1,28,232
SUV - SMALL,2.0,4,AV6,X,9.3,7.3,8.4,34,193
SUV - SMALL,2.0,4,M5,X,9.9,7.6,8.8,32,202
SUV - SMALL,2.0,4,AV6,X,9.6,7.7,8.8,32,202
SUV - SMALL,2.4,4,AV6,X,10.4,8.5,9.6,29,221
TWO-SEATER,3.7,6,AS7,Z,12.6,9.2,11.1,25,255
TWO-SEATER,3.7,6,M6,Z,13.3,9.3,11.5,25,264
TWO-SEATER,3.7,6,AS7,Z,13.0,9.6,11.5,25,264
TWO-SEATER,3.7,6,M6,Z,13.6,9.7,11.8,24,271
MID-SIZE,2.5,4,AV,X,8.7,6.2,7.6,37,175
MID-SIZE,3.5,6,AV,X,10.3,7.4,9.0,31,207
SUV - STANDARD,5.6,8,A5,X,19.2,13.4,16.6,17,382
PICKUP TRUCK - SMALL,2.5,4,A5,X,13.7,10.6,12.3,23,283
PICKUP TRUCK - SMALL,2.5,4,M5,X,12.2,10.2,11.3,25,260
PICKUP TRUCK - SMALL,4.0,6,A5,X,14.8,10.3,12.7,22,292
PICKUP TRUCK - SMALL,4.0,6,A5,X,15.7,11.3,13.7,21,315
PICKUP TRUCK - SMALL,4.0,6,M6,X,15.0,11.2,13.3,21,306
SUBCOMPACT,3.8,6,AM6,Z,14.3,10.5,12.6,22,290
STATION WAGON - SMALL,1.6,4,AV7,X,8.5,7.2,7.9,36,182
STATION WAGON - SMALL,1.6,4,M6,X,8.4,6.9,7.7,37,177
STATION WAGON - SMALL,1.6,4,AV7,X,8.8,7.5,8.2,34,189
STATION WAGON - SMALL,1.6,4,M6,Z,8.9,7.5,8.3,34,191
STATION WAGON - SMALL,1.6,4,AV8,Z,9.4,8.1,8.8,32,202
COMPACT,1.6,4,A4,X,8.8,6.6,7.8,36,179
COMPACT,1.6,4,M5,X,8.6,6.6,7.7,37,177
STATION WAGON - MID-SIZE,3.5,6,AV7,X,11.0,8.2,9.8,29,225
STATION WAGON - MID-SIZE,3.5,6,AV7,X,11.2,8.3,9.9,29,228
SPECIAL PURPOSE VEHICLE,2.0,4,AV,X,9.7,9.0,9.4,30,216
SUV - SMALL,3.5,6,AV,X,11.9,8.6,10.4,27,239
SUV - SMALL,3.5,6,AV,X,12.1,8.9,10.7,26,246
SUV - SMALL,3.5,6,AV,X,12.7,9.0,11.0,26,253
SUV - STANDARD,2.5,4,AV,X,9.1,8.5,8.8,32,202
MINIVAN,3.5,6,AV,X,12.0,8.7,10.5,27,242
SUV - SMALL,2.5,4,AV,X,9.2,7.2,8.3,34,191
SUV - SMALL,2.5,4,AV,X,9.5,7.4,8.5,33,196
PICKUP TRUCK - STANDARD,5.6,8,A5,X,18.4,13.3,16.1,18,370
PICKUP TRUCK - STANDARD,5.6,8,A5,X,19.7,14.3,17.2,16,396
MID-SIZE,1.8,4,AV,X,8.0,6.1,7.2,39,166
MID-SIZE,1.8,4,M6,X,8.9,6.6,7.9,36,182
COMPACT,1.6,4,AV,X,7.5,6.0,6.8,42,156
COMPACT,1.6,4,M5,X,8.6,6.5,7.7,37,177
SUV - SMALL,4.0,6,A5,X,16.0,12.0,14.2,20,327
SUV - SMALL,4.0,6,M6,X,16.0,12.3,14.4,20,331
MINICOMPACT,3.4,6,AM7,Z,11.6,8.4,10.1,28,232
MINICOMPACT,3.4,6,M7,Z,12.3,8.6,10.6,27,244
MINICOMPACT,3.4,6,AM7,Z,11.5,8.3,10.1,28,232
MINICOMPACT,3.4,6,M7,Z,12.3,8.7,10.7,26,246
MINICOMPACT,3.4,6,AM7,Z,11.6,8.5,10.2,28,235
MINICOMPACT,3.4,6,M7,Z,12.3,8.7,10.7,26,246
MINICOMPACT,3.4,6,AM7,Z,11.9,8.7,10.5,27,242
MINICOMPACT,3.4,6,M7,Z,12.5,9.0,10.9,26,251
MINICOMPACT,3.8,6,AM7,Z,12.6,9.2,11.1,25,255
MINICOMPACT,3.8,6,M7,Z,13.0,9.2,11.3,25,260
MINICOMPACT,3.8,6,AM7,Z,13.1,9.4,11.4,25,262
MINICOMPACT,3.8,6,M7,Z,13.4,9.3,11.6,24,267
MINICOMPACT,3.8,6,AM7,Z,12.2,8.9,10.7,26,246
MINICOMPACT,3.8,6,M7,Z,12.6,8.9,11.0,26,253
MINICOMPACT,3.8,6,AM7,Z,12.5,9.0,11.0,26,253
MINICOMPACT,3.8,6,M7,Z,12.9,9.2,11.2,25,258
MINICOMPACT,3.8,6,AM7,Z,12.6,9.0,11.0,26,253
MINICOMPACT,3.8,6,M7,Z,12.9,9.0,11.2,25,258
MINICOMPACT,3.8,6,AM7,Z,12.6,9.2,11.1,25,255
MINICOMPACT,3.8,6,M7,Z,13.4,9.3,11.6,24,267
MINICOMPACT,3.8,6,AM7,Z,11.9,8.7,10.5,27,242
MINICOMPACT,3.8,6,M7,Z,12.4,8.7,10.7,26,246
MINICOMPACT,3.8,6,AM7,Z,12.2,8.7,10.6,27,244
MINICOMPACT,3.8,6,M7,Z,12.5,8.9,10.9,26,251
TWO-SEATER,3.8,6,AM7,Z,16.0,11.5,14.0,20,322
MINICOMPACT,3.4,6,AM7,Z,12.3,8.9,10.8,26,248
MINICOMPACT,3.4,6,M7,Z,12.9,9.0,11.1,25,255
MINICOMPACT,3.8,6,AM7,Z,12.8,9.3,11.2,25,258
MINICOMPACT,3.8,6,M7,Z,13.1,9.2,11.4,25,262
MINICOMPACT,3.8,6,AM7,Z,13.7,9.6,11.9,24,274
MINICOMPACT,3.8,6,AM7,Z,13.7,9.6,11.9,24,274
MINICOMPACT,3.8,6,AM7,Z,13.7,9.6,11.9,24,274
MINICOMPACT,3.8,6,AM7,Z,13.7,9.6,11.9,24,274
TWO-SEATER,2.7,6,AM7,Z,10.7,7.4,9.2,31,212
TWO-SEATER,2.7,6,M6,Z,11.5,7.9,9.9,29,228
TWO-SEATER,3.4,6,AM7,Z,10.9,7.7,9.5,30,218
TWO-SEATER,3.4,6,M6,Z,12.1,8.9,10.7,26,246
TWO-SEATER,3.4,6,AM7,Z,11.3,7.9,9.8,29,225
TWO-SEATER,3.4,6,M6,Z,11.9,8.6,10.4,27,239
SUV - STANDARD,3.0,6,A8,D,11.8,8.1,10.2,28,277
SUV - STANDARD,3.6,6,A8,Z,14.3,9.6,12.2,23,286
SUV - STANDARD,4.8,8,A8,Z,16.7,11.2,14.2,20,327
TWO-SEATER,2.7,6,AM7,Z,10.7,7.4,9.2,31,212
TWO-SEATER,2.7,6,M6,Z,11.5,7.9,9.9,29,228
TWO-SEATER,3.4,6,AM7,Z,10.9,7.7,9.5,30,218
TWO-SEATER,3.4,6,M6,Z,12.1,8.9,10.7,26,246
TWO-SEATER,3.4,6,AM7,Z,11.3,7.9,9.8,29,225
TWO-SEATER,3.4,6,M6,Z,11.9,8.6,10.4,27,239
SUV - SMALL,3.0,6,A7,Z,13.7,10.3,12.2,23,281
SUV - SMALL,3.6,6,A7,Z,14.2,10.1,12.3,23,283
FULL-SIZE,3.6,6,AM7,Z,12.9,8.4,10.9,26,251
FULL-SIZE,3.6,6,AM7,Z,13.1,8.7,11.1,25,255
FULL-SIZE,3.0,6,AM7,Z,13.4,8.8,11.4,25,262
FULL-SIZE,3.0,6,AM7,Z,13.7,8.9,11.5,25,264
FULL-SIZE,4.8,8,AM7,Z,15.1,9.7,12.7,22,292
FULL-SIZE,3.0,6,AM7,Z,13.4,8.8,11.4,25,262
FULL-SIZE,4.8,8,AM7,Z,15.3,9.7,12.8,22,294
FULL-SIZE,4.8,8,AM7,Z,15.4,9.8,12.9,22,297
FULL-SIZE,4.8,8,AM7,Z,15.3,9.7,12.8,22,294
FULL-SIZE,4.8,8,AM7,Z,15.4,9.8,12.9,22,297
PICKUP TRUCK - STANDARD,3.6,6,A8,X,13.9,9.5,11.9,24,274
PICKUP TRUCK - STANDARD,3.6,6,A8,X,13.9,9.5,11.9,24,274
PICKUP TRUCK - STANDARD,3.6,6,A8,E,19.4,13.6,16.8,17,269
PICKUP TRUCK - STANDARD,3.6,6,A8,X,12.9,9.3,11.3,25,260
PICKUP TRUCK - STANDARD,5.7,8,A6,X,17.1,12.0,14.8,19,340
PICKUP TRUCK - STANDARD,5.7,8,A8,X,15.7,10.9,13.6,21,313
PICKUP TRUCK - STANDARD,3.0,6,A8,D,11.5,8.4,10.1,28,273
PICKUP TRUCK - STANDARD,3.0,6,A8,D,11.3,8.0,9.8,29,265
PICKUP TRUCK - STANDARD,3.6,6,A8,X,14.6,10.1,12.6,22,290
PICKUP TRUCK - STANDARD,3.6,6,A8,X,14.6,10.1,12.6,22,290
PICKUP TRUCK - STANDARD,3.6,6,A8,E,20.5,14.5,17.8,16,285
PICKUP TRUCK - STANDARD,5.7,8,A6,X,17.7,12.7,15.4,18,354
PICKUP TRUCK - STANDARD,5.7,8,A8,X,16.2,11.5,14.1,20,324
PICKUP TRUCK - STANDARD,3.0,6,A8,D,12.1,8.8,10.6,27,286
MINIVAN,3.6,6,A6,X,13.3,9.1,11.4,25,262
MINIVAN,3.6,6,A6,E,18.6,12.7,15.9,18,254
SPECIAL PURPOSE VEHICLE,2.4,4,A9,X,11.2,8.1,9.8,29,225
FULL-SIZE,6.6,12,AS8,Z,19.2,12.4,16.1,18,370
FULL-SIZE,6.6,12,AS8,Z,19.2,12.4,16.1,18,370
FULL-SIZE,6.7,12,AS8,Z,20.9,12.7,17.2,16,396
FULL-SIZE,6.7,12,AS8,Z,20.7,12.9,17.2,16,396
COMPACT,6.7,12,AS8,Z,20.9,12.7,17.2,16,396
COMPACT,6.7,12,AS8,Z,20.7,12.9,17.2,16,396
MID-SIZE,6.6,12,AS8,Z,18.7,11.8,15.6,18,359
MINICOMPACT,2.0,4,AS6,Z,9.6,7.0,8.4,34,193
MINICOMPACT,2.0,4,M6,Z,10.9,7.9,9.6,29,221
MINICOMPACT,1.3,4,AV,X,6.5,6.3,6.4,44,147
COMPACT,2.5,4,AS6,X,10.2,7.6,9.0,31,207
COMPACT,2.5,4,M6,X,10.2,7.7,9.0,31,207
STATION WAGON - SMALL,2.4,4,AS4,X,10.9,8.5,9.8,29,225
STATION WAGON - SMALL,2.4,4,M5,X,10.8,8.5,9.8,29,225
TWO-SEATER,1.0,3,AM5,Z,6.8,6.2,6.5,43,150
TWO-SEATER,1.0,3,AM5,Z,6.8,6.2,6.5,43,150
MINICOMPACT,2.0,4,AS6,Z,9.6,7.0,8.4,34,193
MINICOMPACT,2.0,4,M6,Z,10.9,7.9,9.6,29,221
SUV - SMALL,2.0,4,AV8,Z,10.2,8.5,9.4,30,216
SUV - SMALL,2.5,4,AV6,X,9.6,7.5,8.7,32,200
SUV - SMALL,2.5,4,M6,X,10.6,8.4,9.6,29,221
COMPACT,2.0,4,AV6,X,8.5,6.4,7.6,37,175
COMPACT,2.0,4,M5,X,9.5,7.0,8.4,34,193
STATION WAGON - SMALL,2.0,4,AV6,X,8.5,6.4,7.6,37,175
STATION WAGON - SMALL,2.0,4,M5,X,9.5,7.0,8.4,34,193
MID-SIZE,2.5,4,AV6,X,9.0,6.5,7.9,36,182
MID-SIZE,2.5,4,M6,X,10.7,7.8,9.4,30,216
MID-SIZE,3.6,6,AV6,X,11.9,8.2,10.2,28,235
SUV - SMALL,2.5,4,AV6,X,9.3,7.1,8.3,34,191
SUV - SMALL,2.5,4,M6,X,11.0,8.2,9.7,29,223
SUV - SMALL,3.6,6,AV6,X,12.0,8.6,10.5,27,242
COMPACT,2.0,4,AV8,Z,12.4,9.4,11.1,25,255
COMPACT,2.0,4,M6,Z,11.1,8.3,9.8,29,225
COMPACT,2.5,4,M6,Z,13.8,10.2,12.2,23,281
SUV - SMALL,2.0,4,AV6,X,9.1,7.0,8.1,35,186
SUV - SMALL,2.0,4,M5,X,10.2,7.7,9.1,31,209
SUV - SMALL,2.0,4,AV6,X,7.9,6.9,7.5,38,173
SUV - STANDARD,4.0,6,AS5,X,14.2,11.1,12.8,22,294
SUV - STANDARD,4.0,6,AS5,X,14.2,11.1,12.8,22,294
MID-SIZE,3.5,6,AS6,X,11.3,7.5,9.6,29,221
MID-SIZE,2.5,4,AS6,X,9.7,6.9,8.4,34,193
MID-SIZE,3.5,6,AS6,X,11.0,7.7,9.5,30,218
MID-SIZE,2.5,4,AV,X,5.5,6.0,5.7,50,131
MID-SIZE,2.5,4,AV,X,5.7,6.1,5.9,48,136
MID-SIZE,1.8,4,A4,X,8.6,6.5,7.6,37,175
MID-SIZE,1.8,4,AV7,X,7.9,6.1,7.1,40,163
MID-SIZE,1.8,4,AV,X,8.2,6.2,7.3,39,168
MID-SIZE,1.8,4,M6,X,8.3,6.2,7.4,38,170
MID-SIZE,1.8,4,AV,X,7.7,5.6,6.8,42,156
MID-SIZE,1.8,4,AV,X,7.7,6.0,6.9,41,159
SUV - SMALL,2.7,4,AS6,X,11.7,9.5,10.7,26,246
SUV - SMALL,3.5,6,AS6,X,12.5,9.3,11.1,25,255
SUV - STANDARD,3.5,6,AS6,X,13.0,9.8,11.6,24,267
SUV - STANDARD,3.5,6,AV6,X,8.6,8.5,8.5,33,196
SUV - STANDARD,3.5,6,AV6,X,8.4,8.3,8.4,34,193
MID-SIZE,1.8,4,AV,X,4.6,4.9,4.7,60,108
COMPACT,1.5,4,AV,X,4.5,5.1,4.8,59,110
STATION WAGON - MID-SIZE,1.8,4,AV,X,5.4,5.8,5.6,50,129
SUV - SMALL,2.5,4,AS6,X,10.0,7.6,8.9,32,205
SUV - SMALL,2.5,4,AS6,X,10.5,8.2,9.5,30,218
SUV - SMALL,2.5,4,AS6,X,10.0,7.6,8.9,32,205
SUV - SMALL,2.5,4,AS6,X,10.7,8.3,9.6,29,221
SUV - STANDARD,5.7,8,AS6,X,18.8,14.0,16.6,17,382
MINIVAN,3.5,6,AS6,X,13.0,9.5,11.4,25,262
MINIVAN,3.5,6,AS6,X,14.4,10.2,12.5,23,288
PICKUP TRUCK - SMALL,2.7,4,A4,X,12.2,9.9,11.2,25,258
PICKUP TRUCK - SMALL,2.7,4,M5,X,11.3,9.5,10.5,27,242
PICKUP TRUCK - SMALL,4.0,6,M6,X,14.5,11.3,13.1,22,301
PICKUP TRUCK - SMALL,2.7,4,A4,X,13.1,11.3,12.3,23,283
PICKUP TRUCK - SMALL,2.7,4,M5,X,12.9,11.5,12.3,23,283
PICKUP TRUCK - SMALL,4.0,6,A5,X,14.8,11.6,13.4,21,308
PICKUP TRUCK - SMALL,4.0,6,M6,X,15.3,12.3,14.0,20,322
PICKUP TRUCK - STANDARD,4.6,8,AS6,X,15.9,12.3,14.3,20,329
PICKUP TRUCK - STANDARD,5.7,8,AS6,X,17.2,12.8,15.2,19,350
PICKUP TRUCK - STANDARD,4.6,8,AS6,X,16.9,12.8,15.1,19,347
PICKUP TRUCK - STANDARD,5.7,8,AS6,X,18.5,14.2,16.6,17,382
SUV - SMALL,2.7,4,AS6,X,11.6,9.0,10.4,27,239
SUV - SMALL,3.5,6,AS6,X,12.5,9.0,10.9,26,251
SUV - SMALL,2.7,4,AS6,X,11.6,9.2,10.5,27,242
SUV - SMALL,3.5,6,AS6,X,12.8,9.3,11.3,25,260
COMPACT,1.5,4,A4,X,7.8,6.6,7.3,39,168
COMPACT,1.5,4,M5,X,7.7,6.3,7.1,40,163
COMPACT,1.8,4,AS6,X,9.6,7.2,8.5,33,196
COMPACT,1.8,4,M5,X,9.9,7.2,8.7,32,200
COMPACT,2.0,4,AM6,Z,10.0,7.9,9.1,31,209
COMPACT,2.0,4,M6,Z,10.4,7.7,9.2,31,212
COMPACT,2.0,4,AM6,D,7.6,5.7,6.9,41,183
COMPACT,2.0,4,M6,D,7.6,5.7,6.9,41,184
SUBCOMPACT,1.8,4,AS6,X,9.8,7.3,8.7,32,200
SUBCOMPACT,2.0,4,AM6,Z,10.3,8.2,9.4,30,216
SUBCOMPACT,2.0,4,M6,Z,10.4,7.7,9.2,31,212
COMPACT,2.0,4,AM6,Z,10.7,7.7,9.3,30,214
COMPACT,2.0,4,M6,Z,11.4,7.4,9.6,29,221
COMPACT,3.6,6,AS6,Z,13.9,9.3,11.8,24,271
SUBCOMPACT,2.0,4,AM6,Z,10.8,7.8,9.5,30,219
COMPACT,1.8,4,AS6,X,9.3,6.5,8.1,35,186
COMPACT,1.8,4,M5,X,9.3,6.4,8.0,35,184
COMPACT,2.0,4,AM6,D,7.6,5.5,6.5,43,177
COMPACT,2.0,4,M6,D,7.8,5.2,6.5,43,178
COMPACT,2.0,4,AM6,Z,9.5,7.2,8.5,33,196
COMPACT,2.0,4,M6,Z,9.4,6.9,8.3,34,191
STATION WAGON - SMALL,1.8,4,AS6,X,9.4,6.8,8.2,34,193
STATION WAGON - SMALL,1.8,4,M5,X,9.5,6.6,8.2,34,189
STATION WAGON - SMALL,2.0,4,AM6,D,7.6,5.6,6.7,42,180
STATION WAGON - SMALL,2.0,4,M6,D,7.6,5.5,6.7,42,179
COMPACT,1.8,4,AS6,X,9.3,6.3,7.9,36,182
COMPACT,1.8,4,M5,X,9.3,6.3,8.0,35,184
COMPACT,2.0,4,AS6,X,10.4,7.0,8.9,32,205
COMPACT,2.0,4,M5,X,9.5,6.9,8.4,34,193
COMPACT,2.0,4,AM6,D,7.6,5.2,6.5,43,175
COMPACT,2.0,4,M6,D,7.6,5.1,6.5,43,176
COMPACT,2.0,4,AM6,Z,10.0,7.3,8.8,32,202
COMPACT,2.0,4,M6,Z,10.3,7.2,8.9,32,205
COMPACT,1.4,4,AM7,Z,5.6,4.9,5.3,53,122
MID-SIZE,1.8,4,AS6,X,9.7,6.6,8.3,34,191
MID-SIZE,1.8,4,M5,X,9.8,6.7,8.4,34,193
MID-SIZE,2.0,4,AM6,D,7.8,5.6,6.9,41,185
MID-SIZE,2.0,4,M6,D,7.8,5.3,6.7,42,182
MID-SIZE,3.6,6,AM6,Z,11.9,8.5,10.4,27,239
SUV - SMALL,2.0,4,AS6,Z,11.5,9.3,10.5,27,242
SUV - SMALL,2.0,4,M6,Z,13.0,9.0,11.2,25,258
SUV - SMALL,2.0,4,AS6,Z,11.7,9.4,10.7,26,246
SUV - STANDARD,3.6,6,AS8,Z,14.1,10.4,12.4,23,292
SUV - STANDARD,3.0,6,AS8,D,11.8,8.1,10.2,28,277
COMPACT,3.0,6,AS6,X,12.8,8.9,11.0,26,253
COMPACT,2.0,4,AS8,X,9.8,6.6,8.4,34,193
COMPACT,2.5,5,AS6,X,11.6,8.2,10.1,28,232
COMPACT,2.0,4,AS8,Z,10.1,7.3,8.9,32,205
COMPACT,3.0,6,AS6,X,12.9,9.0,11.2,25,258
